delivery_days,delay_days,is_late,payment_value,payment_installments,payment_type,total_price,freight_value,freight_ratio,customer_state,product_weight_g,product_photos_qty,product_description_lenght,product_volume,review_label
8.0,-13.0,0,243.62,1.0,0,229.0,14.62,0.06384279475982532,25,342.0,1.0,236.0,3510.0,1
7.0,-15.0,0,27.6,2.0,1,15.75,11.85,0.7523809523809524,25,178.0,1.0,951.0,3366.0,1
8.0,-13.0,0,111.91,8.0,1,94.0,17.91,0.190531914893617,6,1650.0,1.0,782.0,23374.0,1
18.0,-10.0,0,67.23,1.0,0,49.0,18.23,0.37204081632653063,10,250.0,1.0,293.0,1672.0,1
9.0,-11.0,0,59.68,1.0,0,46.99,12.69,0.270057459033837,25,900.0,2.0,517.0,48000.0,1
17.0,-10.0,0,81.0,1.0,1,50.8,30.200000000000003,0.594488188976378,23,131.5,1.5,640.0,2360.0,0
1.0,-13.0,0,2267.18,4.0,1,2199.99,67.19,0.030541047913854157,25,15300.0,4.0,1933.0,72600.0,1
36.0,0.0,0,237.9,1.0,1,209.99,27.91,0.13291109100433354,15,4650.0,1.0,516.0,25160.0,1
14.0,-22.0,0,596.27,5.0,1,559.0,37.27,0.06667262969588551,25,17600.0,3.0,982.0,55223.0,1
3.0,-15.0,0,433.05,8.0,1,414.0,19.05,0.04601449275362319,25,4600.0,1.0,1135.0,10404.0,1
9.0,-14.0,0,54.22,2.0,1,34.9,19.32,0.5535816618911175,7,700.0,1.0,1209.0,2992.0,0
21.0,-12.0,0,67.42,1.0,0,49.5,17.92,0.3620202020202021,4,5600.0,1.0,132.0,33300.0,0
16.0,0.0,0,116.95,10.0,1,103.9,13.05,0.12560153994225218,18,1250.0,7.0,390.0,4680.0,1
12.0,-13.0,0,92.30000000000001,1.0,1,55.0,37.3,0.6781818181818181,15,200.0,3.0,266.0,640.0,1
7.0,-16.0,0,111.85,3.0,1,99.0,12.85,0.1297979797979798,25,1150.0,2.0,1366.0,23166.0,1
7.0,-19.0,0,336.86,1.0,1,209.9,126.96000000000001,0.6048594568842306,22,6633.333333333333,8.0,947.0,64548.0,1
7.0,-21.0,0,168.73,8.0,1,149.8,18.93,0.12636849132176234,10,200.0,1.0,452.0,3520.0,1
12.0,-14.0,0,63.269999999999996,1.0,1,49.9,13.37,0.267935871743487,25,1750.0,2.0,341.0,32560.0,1
2.0,-9.0,0,159.1,1.0,3,117.8,41.3,0.35059422750424446,25,11489.0,1.0,1204.0,118188.0,1
20.0,-10.0,0,133.58,8.0,1,119.0,14.58,0.12252100840336135,8,195.0,1.0,157.0,4550.0,1
16.0,-4.0,0,49.49,1.0,1,35.0,14.49,0.414,17,850.0,1.0,829.0,10000.0,1
8.0,-4.0,0,112.74,3.0,1,79.8,32.94,0.412781954887218,17,1050.0,1.0,1096.0,3808.0,1
12.0,-11.0,0,173.85,7.0,1,157.99,15.86,0.10038610038610038,18,444.0,3.0,591.0,4480.0,1
8.0,-18.0,0,85.68,8.0,1,58.32,27.36,0.4691358024691358,4,1300.0,8.0,1088.0,2736.0,0
23.0,-10.0,0,199.89,10.0,1,129.0,70.89,0.5495348837209303,13,9950.0,4.0,540.0,58621.0,1
19.0,-30.0,0,79.28,1.0,0,36.9,42.38,1.148509485094851,0,275.0,1.0,750.0,1296.0,1
13.0,-13.0,0,55.18,1.0,0,24.98,30.2,1.208967173738991,25,150.0,4.0,207.0,352.0,0
4.0,-1.0,0,115.23,1.0,1,100.0,15.23,0.1523,25,225.0,2.5,474.5,496.0,1
16.0,-10.0,0,48.9,2.0,1,33.8,15.1,0.4467455621301775,17,1075.0,1.0,555.0,3315.0,0
11.0,-22.0,0,236.07,3.0,1,169.0,67.07,0.39686390532544374,22,17350.0,2.0,789.0,80000.0,0
19.0,-14.0,0,175.32,1.0,0,126.99,48.33,0.38058114812189936,16,3250.0,3.0,586.0,9856.0,1
4.0,-7.0,0,63.39,1.0,0,56.0,7.39,0.1319642857142857,25,300.0,1.0,504.0,640.0,1
10.0,-10.0,0,139.75,1.0,1,118.5,21.25,0.17932489451476794,25,7550.0,6.0,241.0,34800.0,1
10.0,-3.0,0,94.76,4.0,1,69.8,24.96,0.3575931232091691,25,3700.0,1.0,459.0,32384.0,1
27.0,-3.0,0,196.12,2.0,1,169.9,26.22,0.15432607416127134,9,250.0,5.0,2290.0,1584.0,1
2.0,-15.0,0,76.32,1.0,0,59.0,17.32,0.2935593220338983,25,2150.0,1.0,1571.0,9856.0,1
